,account_name,user_screen_name,rt,fav,date,text
0,Yahoo!マーケティングソリューション 公式,yahoo_marketing,51,241,2019-11-07,ネットの中心でフォローを叫ぶ。ヤフーとしても新しい取り組みなので楽しみです！ぜひ明日11/8はYahoo! JAPANのトップページを是非見てくださいね。（スマホで） https://t.co/PYYLcDeDft
1,Yahoo!マーケティングソリューション 公式,yahoo_marketing,183,130,2019-04-25,／『Yahoo! JAPAN MARKETING SUMMIT 2019』へ無料ご招待！＼5/17開催の本イベントへ10名様をご招待いたします。公式アカウントをフォロー＆RTしてエントリーページから応募！5/10締切。#YJMS2019詳細はこちら▶️https://t.co/DYw3qK35oN
2,モリサワ【公式】,Morisawa_JP,51,150,2021-10-01,【2021年秋の新書体】「文游明朝体」は、「時代をこえる普遍性を具えた造形美と可読性を標榜する日本の明朝体」を目指して生まれました✨😌雰囲気の異なる別かなシリーズも4種類👏文学文藝作品において、美しく読みやすい組版を実現します📚✨https://t.co/jkxAtl16Iy#モリサワ新書体 https://t.co/WA0h5dql5C
3,モリサワ【公式】,Morisawa_JP,191,583,2021-06-24,今年の秋にリリースする新書体を発表しました🥳👏✨連綿体や変体仮名を搭載し、流れるように文字がつながる筆書体「澄月」をはじめ、個性豊かな明朝体やゴシック体、ウエイト展開が豊富で利便性の高い欧文書体など、デザインの幅を広げる書体を提供します🎶📝詳細はこちらhttps://t.co/b3UWAGbHU4 https://t.co/Rxqi99kKAs
4,モリサワ【公式】,Morisawa_JP,54,95,2020-11-12,お待たせしました🥳🎊本日、MORISAWA PASSPORT 製品契約中のお客様に「MORISAWA PASSPORT アップグレード2020年11月版」を提供開始しました。2020年新書体やAP版書体、字游工房書体を追加しています。ぜひ色々な場面で使ってみてくださいね✨📝詳細はこちらhttps://t.co/3ib3AERsLA https://t.co/IO1fjO9I7u
5,モリサワ【公式】,Morisawa_JP,54,95,2020-09-18,【タイプデザイナー職、募集開始✍️】文字デザインに興味がある方、一緒にモリサワで書体作りに携わりませんか👨‍🎨✨モリサワは「ポテンシャル採用」として通年採用を行ないます。新卒の方はもちろんのこと、様々な経験を制作に活かせる方をお待ちしております🌱https://t.co/Sqp7pyqV4E
6,モリサワ【公式】,Morisawa_JP,123,234,2020-08-05,弊社作成の「Font Map」をご紹介いただきました✨😉どなたでも、HP内からダウンロードできるのでぜひご利用ください🌴 https://t.co/fHIYrVnNl8
7,モリサワ【公式】,Morisawa_JP,310,481,2020-08-04,プロデザイナー御用達のモリサワフォントが、iPadで使えます🎨🌿Adobe Photoshop iPad版🌿CLIP STUDIO PAINT for iPad などで使えて、画像編集や、漫画・同人誌デザインにもおすすめ。手軽に創作物のクオリティを上げられます。今なら、491書体が月500円で使い放題✨https://t.co/pM09pplcld https://t.co/OxRtwoXGgx
8,モリサワ【公式】,Morisawa_JP,51,62,2020-02-20,【✨本日から✨】MORISAWA PASSPORT製品ユーザ様に、新書体のダウンロード提供を開始しました🙋‍♀️レトロモダンなデザイン書体「赤のアリス」やすっきり明快なかなをもつUD書体「UD新ゴNT（AP版）」、多言語書体「UD黎ミン 簡体字」「UD黎ミン 繁体字」が追加されました。https://t.co/U28myAHl1K https://t.co/554EWJkPSd
9,モリサワ【公式】,Morisawa_JP,58,73,2018-06-26,モリサワの人気フォントがキャラクターモチーフとなった、フォント擬人化コメディ『フォント男子！』第３話本日更新です！■漫画はこちらから（ヤングエースUP）https://t.co/rrX8nketZ5■公式サイトhttps://t.co/aXtly2SNmz https://t.co/jV2i1KsCPi
10,モリサワ【公式】,Morisawa_JP,54,81,2018-06-14,【大解剖！モリサワってどんな会社？】「写植」という言葉をご存知ですか？写真技術を使った植字方法を「写真植字」（略して写植）と言います。1924年、森澤信夫が世界に先駆けて「邦文写真植字機」の特許を申請。この技術を使って写真植字機の実用化を目指しました。（続く→）#写植 #写真植字 https://t.co/18ZepUGIUF
11,モリサワ【公式】,Morisawa_JP,115,179,2017-07-28,人気書体A1明朝の特徴を受け継ぎながら、やわらかな表情をもつ #A1ゴシック 。線画の交差部分の墨だまり表現や、エレメントの端々にわずかな角丸処理を加えることで、温もりのあるデザインに仕上げています。 #モリサワ新書体 #フォント https://t.co/cBeGoRyJLx https://t.co/kCHUYnPV0f
